model,features,rank,AIC,BIC,train_RMSE,validation_RMSE,validation_MAE,validation_R2,selected_by_AIC,selected_by_BIC
OLS_main_effects,40,40.0,3024525.4865841414,3024969.477640776,46.02588084597262,47.8216092190388,30.97367045579178,0.6183331613043492,False,False
OLS_corr_0.90,509,509.0,2851079.805539834,2856481.6967288894,34.00833760316602,34.095842060528426,19.961782580932415,0.805983396930239,False,False
OLS_corr_0.98,510,510.0,2851042.7869859887,2856455.2493906785,34.00603508909132,34.10248708082078,19.96992332985196,0.8059077648403136,True,True
OLS_all_interactions,510,510.0,2851042.7869859887,2856455.2493906785,34.00603508909132,34.102487080820794,19.96992332985196,0.8059077648403135,False,False
XGBoost,510,,,,21.204493928590477,26.8084163446443,14.686761542101536,0.8800560423878442,False,False
Neural_network,510,,,,21.10839504228141,29.472209974331786,17.389849321265576,0.8550355672270941,False,False
