,0
O3_i_o-1,1890290.6608886719
PRES_i_d3,1881831.2568359375
WSPM_i_rm6,1841632.7219238281
raw_NO2,1826630.546875
net_CO_i_d6,1738679.4418945312
net_PM10_i_d1,1727185.2568359375
CO_i_vs_rm24,1727061.4916992188
NO2_i_vs_rm48,1724107.2412109375
CO_i_d3,1717589.3984375
net_WSPM_i,1702041.71875
PM10_i_rm12,1676541.0844726562
raw_TEMP,1572496.6247558594
CO_i_dfwd3,1570189.34375
SO2_i_vs_rm48,1548856.2155761719
PRES_i_o3,1536553.0815429688
PRES_i_o2,1526002.458984375
O3_over_NO2,1517016.9919433594
st_NO2_i_Tiantan,1511279.3923339844
st_NO2_i_Nongzhanguan,1510965.1130371094
st_PM10_i_Gucheng,1426284.2644042969
DEWP_i_d1,1423915.0571289062
TEMP_i_d3,1417179.2373046875
st_NO2_i_Changping,1386875.2446289062
NO2_i_o0,1375993.1376953125
CO_i_o-6,1345972.1572265625
O3_i_o-4,1331591.9345703125
hour,1330768.2448730469
net_NO2_i_d6,1317579.5874023438
wd_t,1315920.0600585938
CO_i_rmax12,1315225.3513183594
O3_i_vs_rm48,1307701.01953125
PM10_i_o-3,1304124.10546875
NO2_i_dfwd,1302382.6923828125
net_CO_std,1270154.9130859375
SO2_i_o-1,1267667.2729492188
CO_i_dfwd,1249178.5747070312
O3_i_o2,1209105.7009277344
CO_i_rs12,1187399.1552734375
CO_i_d8,1186429.6909179688
SO2_i_d3,1177159.8171386719
O3_i_o3,1176743.7624511719
wv_i_o-3,1127223.4594726562
vent,1119300.2756347656
WSPM_i_rs12,1104916.9260253906
SO2_over_NO2,1101307.4790039062
SO2_i_o1,1095451.6884765625
SO2_i_o3,1088917.3107910156
SO2_i_vs_rm24,1080871.5537109375
O3_i_o-2,1077715.1940917969
TEMP_i_o-1,1076916.2397460938
PM10_i_o2,1070264.4431152344
O3_i_o0,1057616.9633789062
TEMP_i_o0,1050374.798828125
net_CO_i_d1,1042601.0935058594
hr_sin,1041668.68359375
O3_i_o-3,1035240.1911621094
O3_i_o-6,1014037.40234375
SO2_i_o-8,1009675.5126953125
SO2_i_rm6,999246.96875
st_PM10_i_Wanliu,969828.3615722656
SO2_i_d1,966263.806640625
TEMP_i_rs12,962233.0466308594
