,0
wv_i_o2,1133119.34765625
NO2_i_o-2,952462.5936279297
n_missing_h,912610.2585449219
DEWP_i_dfwd,907692.0463867188
wu_i_o2,900018.7141113281
wu_i_o-3,890918.2912597656
O3_i_d1,876625.0985107422
wu_i_o-2,801774.8195800781
NO2_i_o-4,780503.6817626953
wu_i_o1,734473.2189941406
wu_i_o0,711758.6492919922
O3_i_dfwd,692083.4178466797
NO2_i_o-3,666292.2080078125
WSPM_i_o2,659348.9879150391
TEMP_i_d1,654500.556640625
wu_i_o-1,647054.0417480469
raw_WSPM,626800.1661376953
raw_RAIN,564451.0114746094
n_missing_t,535134.6102294922
WSPM_i_o1,463609.6833496094
net_WSPM_i_d1,447992.40869140625
WSPM_i_d3,442214.55236816406
wv_i_d3,427496.41796875
RAIN_i_o-4,426679.38720703125
WSPM_i_o-2,405963.0061035156
WSPM_i_o-1,383642.7106933594
wu_i_d3,363221.349609375
WSPM_i_o-4,347597.29064941406
wv_i_dfwd,312742.88037109375
WSPM_i_o-3,299582.720703125
WSPM_i_dfwd,290888.22021484375
wu_i_d1,274658.0496826172
is_heating,273360.76025390625
RAIN_i_o-1,234273.04125976562
WSPM_i_o0,215208.12866210938
WSPM_i_d1,213017.24072265625
wv_i_d1,202072.57946777344
wu_i_dfwd,190528.7703857422
RAIN_i_o1,181688.29809570312
RAIN_i_d1,180231.81958007812
RAIN_i_o2,153581.58923339844
RAIN_i_o-2,116628.07177734375
RAIN_i_d3,59345.79052734375
RAIN_i_o-3,21682.729736328125
RAIN_i_o0,9396.38037109375
RAIN_i_dfwd,8128.85009765625
